Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 7;
nRepetitions = 10;
condition = frame;
location = v;
expDate = 2016_Mar_29_0908;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
-45.0 12.0 1.0 0.50
40.0 0.0 -1.0 0.57
-15.0 12.0 1.0 0.47
-20.0 0.0 1.0 0.44
30.0 -2.0 -1.0 0.56
20.0 8.0 1.0 0.60
20.0 2.0 -1.0 0.91
0.0 12.0 1.0 0.52
-20.0 -5.0 1.0 1.09
-15.0 -2.0 1.0 0.53
-30.0 2.0 1.0 0.46
-5.0 8.0 1.0 0.45
-35.0 0.0 1.0 0.48
30.0 -12.0 -1.0 0.61
0.0 0.0 1.0 1.02
-10.0 8.0 1.0 0.56
15.0 -2.0 -1.0 0.60
-35.0 5.0 1.0 0.50
-25.0 -2.0 -1.0 0.72
-35.0 -12.0 -1.0 0.52
5.0 12.0 1.0 0.71
-10.0 -2.0 1.0 0.59
-5.0 -2.0 1.0 0.53
15.0 2.0 -1.0 0.86
-30.0 -5.0 -1.0 0.55
40.0 5.0 1.0 0.50
-30.0 2.0 1.0 0.48
10.0 -12.0 -1.0 0.47
-40.0 -2.0 -1.0 0.50
35.0 2.0 -1.0 0.72
10.0 5.0 1.0 0.75
20.0 2.0 1.0 1.11
-5.0 8.0 1.0 0.66
-30.0 0.0 1.0 0.53
15.0 8.0 1.0 0.63
0.0 -2.0 -1.0 0.48
25.0 0.0 -1.0 0.55
-10.0 5.0 1.0 0.59
40.0 -2.0 -1.0 0.67
-35.0 -5.0 -1.0 0.67
15.0 0.0 -1.0 0.56
25.0 -12.0 -1.0 0.49
